AIS_bucket,store_count,store_pct,all_impressions,impression_share_pct
<5%,88,5.25,19136346,1.38
5–15%,253,15.10,110500350,7.99
15–25%,350,20.90,312894008,22.62
25–30%,196,11.70,230953487,16.70
30–35%,260,15.52,390555603,28.24
35–40%,259,15.46,239701761,17.33
>40%,269,16.06,79474297,5.75
Total,1675,100.00,1383215852,100.00
